round,train_loss,train_top1,train_top5,train2_loss,train2_top1,train2_top5,test_loss,test_top1,test_top5
4,2.0325,20.2731,79.7269,2.6296,15.2390,43.3267,2.5322,10.0000,50.0000
8,1.9214,34.9451,81.2088,2.4466,20.2381,65.1515,2.5011,18.0411,54.1289
12,1.9268,24.8853,82.5688,2.3429,23.0857,55.4286,2.2751,21.3144,64.4511
16,1.8080,31.1758,86.0841,2.1458,13.0647,75.8242,2.1919,17.9789,68.5289
20,1.7018,41.2162,91.5541,2.7331,17.5303,63.1753,2.6699,16.9533,68.6111
24,1.9823,33.7198,89.5652,2.0450,33.2134,84.8921,2.5972,14.6900,76.0144
28,1.8534,27.7476,86.1806,1.9628,21.7136,82.2770,2.0576,17.6400,80.6133
32,1.5061,38.7671,95.4795,2.3610,26.8208,75.1445,2.4179,23.0222,72.5533
36,1.8785,31.7339,86.6957,2.1706,21.2973,76.0000,2.1972,18.5611,79.6944
40,1.7603,40.7101,87.4556,2.2899,22.1662,73.9295,2.3811,19.2656,78.5444
44,1.6747,40.8120,88.3547,2.2161,11.6092,80.3448,2.0683,22.2778,81.5322
48,1.5183,43.6482,94.5711,1.8720,27.6667,85.6667,2.0180,25.3489,80.8356
52,1.6810,41.2148,93.1670,2.5022,24.1119,77.3950,2.5932,16.4322,77.3167
56,1.6510,39.4536,92.1311,1.9272,22.0023,82.5378,1.9196,26.2189,83.6489
60,1.5685,39.6396,91.6667,2.1486,18.4631,83.1337,1.9397,26.0567,84.5656
64,1.6310,42.1111,90.5556,2.1942,19.0223,87.3539,2.2309,22.9300,80.8378
68,1.4666,42.1714,95.7714,2.1555,22.5029,74.9713,2.0716,22.7333,78.9222
72,1.6126,36.9369,91.4414,1.8188,33.8525,86.9159,1.8727,31.4778,86.0956
76,1.5492,46.1538,91.1765,2.1004,27.7949,83.8974,2.0842,27.4400,83.8367
80,1.6855,38.3871,89.6774,1.7706,32.0186,87.4710,1.8251,32.0244,86.5222
