round,test_loss,test_top1,test_top5
87,1.9227,28.8560,82.9200,1.8982,30.6900,83.9000
88,1.9443,28.2780,81.1520,1.9420,29.1400,80.8600
89,1.9298,28.9060,82.8900,1.9028,30.6300,84.2400
90,1.9264,29.3940,83.3980,1.9076,31.7600,84.0400
91,1.9171,28.8460,83.6520,1.8961,30.6700,83.9800
92,1.9193,27.3580,82.8420,1.8943,28.8300,83.8900
93,1.9149,29.1420,83.7840,1.8945,31.8800,84.0800
94,1.9623,28.2300,81.0840,1.9150,30.1300,83.7100
95,1.9048,30.0480,84.0540,1.8828,32.2400,84.8900
96,1.9018,29.4160,83.3160,1.8890,30.9200,84.0400
97,1.8982,28.5920,84.0040,1.8726,30.2400,85.0600
98,1.9080,28.7000,83.6120,1.8944,30.7000,84.0200
99,1.9266,28.0320,82.8440,1.8921,29.9000,84.5900
100,1.8969,28.5640,84.0800,1.8662,31.4000,85.4200
